"date","I","Y","L"
"1950-01-01","5111.49","40920",""
"1951-01-01","6821.09","44711",""
"1952-01-01","7987.16","47347",""
"1953-01-01","8625.31","50085",""
"1954-01-01","7244.26","52762",""
"1955-01-01","8577.23","55858",""
"1956-01-01","10475.11","58484",""
"1957-01-01","11405.15","62371",""
"1958-01-01","10191.56","61706",""
"1959-01-01","8006.81","63653",""
"1960-01-01","8596.19","69946",""
"1961-01-01","10993.00","75085",""
"1962-01-01","12476.43","82620",""
"1963-01-01","11869.15","86196",""
"1964-01-01","11789.70","91840",""
"1965-01-01","14111.10","97003",""
"1966-01-01","15846.88","104995",""
"1967-01-01","14556.06","109040",""
"1968-01-01","12388.04","109206",""
"1969-01-01","12881.58","113044",""
"1970-01-01","14462.16","116849",""
"1971-01-01","16334.89","122213",""
"1972-01-01","16981.99","126463",""
"1973-01-01","23098.12","134401",""
"1974-01-01","29492.13","147017",""
"1975-01-01","30657.92","153340",""
"1976-01-01","26500.36","155559",""
"1977-01-01","24066.51","156102",""
"1978-01-01","21846.46","151977",""
"1979-01-01","24021.51","158194",""
"1980-01-01","31447.64","167596",""
"1981-01-01","37745.41","176901",""
"1982-01-01","36309.86","176507",""
"1983-01-01","25633.10","158136",""
"1984-01-01","24704.22","163842",""
"1985-01-01","21016.72","167219",""
"1986-01-01","25324.75","182981",""
"1987-01-01","29372.33","200778",""
"1988-01-01","24839.80","181822",""
"1989-01-01","21618.03","159436",""
"1990-01-01","21822.78","151492",""
"1991-01-01","22227.00","154854",""
"1992-01-01","22545.92","154017",""
"1993-01-01","25141.01","162093",""
"1994-01-01","34352.41","182044",""
"1995-01-01","41085.79","195536",""
"1996-01-01","40118.63","201009",""
"1997-01-01","46388.51","214028",""
"1998-01-01","46234.01","213190",""
"1999-01-01","41987.41","216377",""
"2000-01-01","39663.48","222207",""
"2001-01-01","35883.06","223580","12493.20"
"2002-01-01","35457.85","235773","12759.60"
"2003-01-01","37393.71","245593","13539.10"
"2004-01-01","39801.52","257770","13791.10"
"2005-01-01","44441.45","273971","13866.80"
"2006-01-01","53146.76","294598","14356.00"
"2007-01-01","64947.72","319693","14907.23"
"2008-01-01","80796.34","348870","15156.84"
"2009-01-01","79688.09","352693","15451.35"
"2010-01-01","98132.15","382081","15738.05"
"2011-01-01","104026.93","406256","15948.81"
"2012-01-01","121028.13","431199","16143.08"
"2013-01-01","130547.81","456435","16326.45"
"2014-01-01","127529.63","467308","16396.35"
"2015-01-01","121514.88","482506","16498.37"
"2016-01-01","116496.65","501581","16903.68"
"2017-01-01","116164.89","514215","17215.74"
"2018-01-01","121257.50","534665","17462.75"
"2019-01-01","125292.78","546161","17830.48"
"2020-01-01","104840.99","486059","16094.96"
